影视列表,#genre#
78_fun探索娛樂台,https://m.4gtv.tv/channel/4gtv-live011?set=1&ch=274
79_幸福空間居家台,https://m.4gtv.tv/channel/4gtv-live206?set=1&ch=168
80_Love,https://m.4gtv.tv/channel/4gtv-live208?set=1&ch=139
81_History,https://m.4gtv.tv/channel/4gtv-live026?set=1&ch=214
82_愛爾達生活旅遊台,https://m.4gtv.tv/channel/4gtv-live120?set=1&ch=237
83_LUXE,https://m.4gtv.tv/channel/4gtv-live121?set=1&ch=175
84_TV5MONDE,https://m.4gtv.tv/channel/4gtv-live122?set=1&ch=178
85_公視戲劇,https://m.4gtv.tv/channel/4gtv-4gtv042?set=1&ch=7
86_民視影劇台,https://m.4gtv.tv/channel/litv-ftv09?set=1&ch=24
87_龍華戲劇台,https://m.4gtv.tv/channel/litv-longturn18?set=1&ch=23
88_HITS頻道,https://m.4gtv.tv/channel/4gtv-live620?set=1&ch=186
89_龍華日韓台,https://m.4gtv.tv/channel/litv-longturn11?set=1&ch=28
90_八大精彩台,https://m.4gtv.tv/channel/4gtv-4gtv034?set=1&ch=172
91_靖天戲劇台,https://m.4gtv.tv/channel/4gtv-4gtv058?set=1&ch=116
92_靖洋戲劇台,https://m.4gtv.tv/channel/4gtv-4gtv045?set=1&ch=118
93_CI,https://m.4gtv.tv/channel/4gtv-live027?set=1&ch=215
94_視納華仁紀實頻道,https://m.4gtv.tv/channel/4gtv-4gtv013?set=1&ch=38
95_影迷數位紀實台,https://m.4gtv.tv/channel/4gtv-live023?set=1&ch=212
96_金光布袋戲,https://m.4gtv.tv/channel/4gtv-live144?set=1&ch=236
97_ROCK,https://m.4gtv.tv/channel/4gtv-live138?set=1&ch=180
98_采昌影劇台,https://m.4gtv.tv/channel/4gtv-4gtv049?set=1&ch=25
99_靖天映畫,https://m.4gtv.tv/channel/4gtv-4gtv055?set=1&ch=42
100_靖天電影台,https://m.4gtv.tv/channel/4gtv-4gtv061?set=1&ch=82
101_龍華電影台,https://m.4gtv.tv/channel/litv-longturn03?set=1&ch=121
102_影迷數位電影台,https://m.4gtv.tv/channel/4gtv-4gtv011?set=1&ch=40
103_amc最愛電影,https://m.4gtv.tv/channel/4gtv-4gtv017?set=1&ch=39
104_CinemaWorld,https://m.4gtv.tv/channel/4gtv-live069?set=1&ch=225
105_My,https://m.4gtv.tv/channel/4gtv-live157?set=1&ch=176
106_好消息2台,https://m.4gtv.tv/channel/litv-ftv17?set=1&ch=8
107_好消息,https://m.4gtv.tv/channel/litv-ftv16?set=1&ch=9
108_大愛二台,https://m.4gtv.tv/channel/4gtv-live106?set=1&ch=230
109_人間衛視,https://m.4gtv.tv/channel/4gtv-live008?set=1&ch=210
110_半島國際新聞台,https://m.4gtv.tv/channel/litv-ftv10?set=1&ch=85
111_VOA美國之音,https://m.4gtv.tv/channel/litv-ftv03?set=1&ch=86
112_CNBC,https://m.4gtv.tv/channel/4gtv-live130?set=1&ch=235
113_DW德國之聲,https://m.4gtv.tv/channel/4gtv-live071?set=1&ch=226
114_國會頻道1,https://m.4gtv.tv/channel/4gtv-4gtv084?set=1&ch=170
115_國會頻道2,https://m.4gtv.tv/channel/4gtv-4gtv085?set=1&ch=171
116_經典電影台,https://m.4gtv.tv/channel/4gtv-live021?set=1&ch=201
117_經典卡通台,https://m.4gtv.tv/channel/4gtv-live022?set=1&ch=202
118_兒童卡通台,https://m.4gtv.tv/channel/4gtv-live009?set=1&ch=269
119_精選動漫台,https://m.4gtv.tv/channel/4gtv-live024?set=1&ch=204
120_華語戲劇台,https://m.4gtv.tv/channel/4gtv-live005?set=1&ch=244
121_華語綜藝台,https://m.4gtv.tv/channel/4gtv-live006?set=1&ch=245
122_戲劇免費看,https://m.4gtv.tv/channel/4gtv-live010?set=1&ch=270
123_電影免費看,https://m.4gtv.tv/channel/4gtv-live013?set=1&ch=272
124_超人力霸王整套看,https://m.4gtv.tv/channel/4gtv-live015?set=1&ch=278
125_花系列,https://m.4gtv.tv/channel/4gtv-live016?set=1&ch=279
